x0	x1	x34	x35	x36	x41	x45	x46	x68	x84	x93	x94
0.196062599	3.683995405	tesla	thurday	-4.664154248	$124.72	-0.01%	14.36055481	Jun	-11.07276963	asia	0.023357214
23.15519683	-9.226725445	Toyota	thur	5.220241585	$1,273.04	-0.01%	0.328323663	July	4.601376315	asia	1.349388658
-13.96961801	-0.343978328	bmw	wednesday	-0.061423727	-$1,651.19	0.00%	3.824881643	Aug	17.35174599	asia	2.149993382
49.72248051	-1.500789165	Toyota	wed	1.908461175	$896.05	0.01%	-6.201024052	Aug	6.084073132	asia	-3.052037378
-13.49440335	7.445214524	Honda	wednesday	0.074133107	-$1,710.27	0.01%	-12.54733844	May	10.03578341	asia	-0.100660049
-52.92867811	20.31869804	Toyota	thurday	3.970205327	-$634.94	0.01%	3.714089168	July	5.796238802	asia	-2.982810046
-5.095166436	10.80407171	bmw	thurday	3.879950089	$272.90	-0.01%	-1.694294191	Jun	8.353068891	asia	-0.94872565
5.498619791	-9.66480679	ford	wed	1.576982643	-$1,659.69	-0.01%	-1.971680438	Jun	-10.42757236	asia	0.849058459
-77.50348232	15.45962126	volkswagon	thurday	1.976970901	-$1,061.87	0.00%	-8.424532339	Jun	3.34039849	america	-1.342460239
43.21453222	-25.64789357	Honda	thurday	-2.755701818	$526.37	0.00%	-7.966714147	July	-2.655538457	asia	-0.290636063
1.044268634	30.32879518	Toyota	thurday	-1.56574697	-$903.23	0.01%	0.062612184	July	-0.850401662	asia	0.250883695
31.34524374	-8.61312366	bmw	thurday	2.484965033	$326.63	-0.01%	-0.847241114	Aug	7.081839187	asia	-0.191421741
-4.4054704	22.13876435	Toyota	thurday	1.239642115	-$1,043.81	0.00%	-0.489578499	May	-4.483317682	asia	0.818361289
62.659219	-22.8952796	bmw	thur	-1.903582439	$1,508.92	-0.01%	-2.661445625	Aug	7.929698282	asia	-1.177427192
-30.37970906	20.33872307	volkswagon	tuesday	1.455611031	-$754.73	0.02%	-0.159955859	Apr	-10.65126354	asia	-0.243557748
